Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
6253208,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/28/12
6253209,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,8/28/12
6253210,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,8/28/12
6253211,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,8/28/12
6266655,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/4/12
6266656,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/4/12
6266657,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/4/12
6266658,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,9/4/12
6280077,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/11/12
6280078,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/11/12
6280079,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/11/12
6280080,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,9/11/12
6293448,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/18/12
6293449,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/18/12
6293450,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/18/12
6293451,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,9/18/12
6306807,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/25/12
6306808,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/25/12
6306809,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/25/12
6306810,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,9/25/12
6320164,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/2/12
6320165,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/2/12
6320166,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,10/2/12
6320167,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,10/2/12
6333312,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/9/12
6333313,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/9/12
