Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
8546949,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/7/03
8546950,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,1/7/03
8556284,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/14/03
8556285,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/14/03
8556286,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/14/03
8556287,NE,98.2,553.42,0,0,1,4,D3  ,Adams County,563.54,1/14/03
8565728,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/21/03
8565729,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/21/03
8565730,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/21/03
8565731,NE,70.86,399.31,0,0,1,4,D3  ,Adams County,563.54,1/21/03
8575156,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/28/03
8575157,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/28/03
8575158,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/28/03
8575159,NE,30.44,171.56,0,0,1,4,D3  ,Adams County,563.54,1/28/03
8584571,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/4/03
8584572,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/4/03
8584573,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/4/03
8584574,NE,20.53,115.7,0,0,1,4,D3  ,Adams County,563.54,2/4/03
8593968,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/11/03
8593969,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/11/03
8593970,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/11/03
8593971,NE,22.68,127.81,0,0,1,4,D3  ,Adams County,563.54,2/11/03
8603336,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/18/03
8603337,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/18/03
8603338,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/18/03
8603339,NE,32.09,180.84,0,0,1,4,D3  ,Adams County,563.54,2/18/03
8612684,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/25/03
