Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
6248895,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,8/28/12
6248896,CA,96.24,720.58,0,0,1,2,D1  ,Alameda County,748.73,8/28/12
6262632,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/4/12
6262633,CA,95.65,716.16,0,0,1,2,D1  ,Alameda County,748.73,9/4/12
6276158,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/11/12
6276159,CA,95.36,714.02,0,0,1,2,D1  ,Alameda County,748.73,9/11/12
6289579,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/18/12
6289580,CA,96.14,719.86,0,0,1,2,D1  ,Alameda County,748.73,9/18/12
6302911,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/25/12
6302912,CA,96.14,719.86,0,0,1,2,D1  ,Alameda County,748.73,9/25/12
6316377,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/2/12
6316378,CA,96.14,719.86,0,0,1,2,D1  ,Alameda County,748.73,10/2/12
6329621,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/9/12
6329622,CA,93.29,698.46,0,0,1,2,D1  ,Alameda County,748.73,10/9/12
6342732,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/16/12
6342733,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,10/16/12
6355798,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/23/12
6355799,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,10/23/12
6368875,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/30/12
6368876,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,10/30/12
6381588,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,11/6/12
6381589,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,11/6/12
6394465,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,11/13/12
6394466,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,11/13/12
6407114,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,11/20/12
6407115,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,11/20/12
6420004,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,11/27/12
6420005,CA,92.98,696.16,0,0,1,2,D1  ,Alameda County,748.73,11/27/12
6433137,CA,94.3,706.03,0,0,1,1,D0  ,Alameda County,748.73,12/4/12
6433138,CA,10.92,81.77,0,0,1,2,D1  ,Alameda County,748.73,12/4/12
6446364,CA,15.58,116.68,0,0,1,1,D0  ,Alameda County,748.73,12/11/12
6459493,CA,15.58,116.68,0,0,1,1,D0  ,Alameda County,748.73,12/18/12
6472595,CA,15.58,116.68,0,0,1,1,D0  ,Alameda County,748.73,12/25/12
6485617,CA,15.58,116.68,0,0,1,1,D0  ,Alameda County,748.73,1/1/13
6498531,CA,15.65,117.21,0,0,1,1,D0  ,Alameda County,748.73,1/8/13
6572884,CA,89.1,667.1,0,0,1,1,D0  ,Alameda County,748.73,2/19/13
6584993,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,2/26/13
6596627,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,3/5/13
6608177,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,3/12/13
6619652,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,3/19/13
6631197,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,3/26/13
6642588,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,4/2/13
6654148,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,4/9/13
6665475,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,4/16/13
6676358,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,4/23/13
6687063,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,4/30/13
6697597,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,5/7/13
6697598,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,5/7/13
6708038,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,5/14/13
6708039,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,5/14/13
6718481,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,5/21/13
6718482,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,5/21/13
6728771,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,5/28/13
6728772,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,5/28/13
6768681,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,6/4/13
6768682,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,6/4/13
6778716,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,6/11/13
6778717,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,6/11/13
6788588,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,6/18/13
6788589,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,6/18/13
6798482,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,6/25/13
6798483,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,6/25/13
6798484,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,6/25/13
6808220,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,7/2/13
6808221,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,7/2/13
6808222,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,7/2/13
6837560,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,7/9/13
6837561,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,7/9/13
6837562,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,7/9/13
6847394,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,7/16/13
6847395,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,7/16/13
6847396,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,7/16/13
6857345,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,7/23/13
6857346,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,7/23/13
6857347,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,7/23/13
6887444,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,7/30/13
6887445,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,7/30/13
6887446,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,7/30/13
6897550,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,8/6/13
6897551,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,8/6/13
6897552,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,8/6/13
6907694,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,8/13/13
6907695,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,8/13/13
6907696,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,8/13/13
6917823,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,8/20/13
6917824,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,8/20/13
6917825,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,8/20/13
6928029,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,8/27/13
6928030,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,8/27/13
6928031,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,8/27/13
6949478,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/3/13
6949479,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,9/3/13
6949480,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,9/3/13
6960363,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/10/13
6960364,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,9/10/13
6960365,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,9/10/13
6990786,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/17/13
6990787,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,9/17/13
6990788,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,9/17/13
8774089,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,9/24/13
8774090,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,9/24/13
8774091,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,9/24/13
8872903,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/1/13
8872904,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,10/1/13
8872905,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,10/1/13
9053881,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/8/13
9053882,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,10/8/13
9053883,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,10/8/13
9064412,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/15/13
9064413,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,10/15/13
9064414,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,10/15/13
9074665,CA,100,748.73,0,0,1,1,D0  ,Alameda County,748.73,10/22/13
9074666,CA,100,748.73,0,0,1,2,D1  ,Alameda County,748.73,10/22/13
9074667,CA,100,748.73,0,0,1,3,D2  ,Alameda County,748.73,10/22/13
