Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
4584418,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,4/28/09
4635098,NE,54.18,305.32,0,0,1,1,D0  ,Adams County,563.54,6/9/09
4643640,NE,35.36,199.26,0,0,1,1,D0  ,Adams County,563.54,6/16/09
4652096,NE,42.27,238.2,0,0,1,1,D0  ,Adams County,563.54,6/23/09
4660476,NE,36.14,203.64,0,0,1,1,D0  ,Adams County,563.54,6/30/09
4660477,NE,0.38,2.15,0,0,1,2,D1  ,Adams County,563.54,6/30/09
4668959,NE,77.52,436.88,0,0,1,1,D0  ,Adams County,563.54,7/7/09
4668960,NE,0.73,4.09,0,0,1,2,D1  ,Adams County,563.54,7/7/09
4677589,NE,89.76,505.83,0,0,1,1,D0  ,Adams County,563.54,7/14/09
4677590,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,7/14/09
4686284,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,7/21/09
4686285,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,7/21/09
4695076,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,7/28/09
4695077,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,7/28/09
4703824,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/4/09
4703825,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,8/4/09
4712507,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/11/09
4712508,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,8/11/09
4721190,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/18/09
4721191,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,8/18/09
4729831,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/25/09
4729832,NE,12.65,71.31,0,0,1,2,D1  ,Adams County,563.54,8/25/09
4738399,NE,28.88,162.77,0,0,1,1,D0  ,Adams County,563.54,9/1/09
4746813,NE,28.88,162.77,0,0,1,1,D0  ,Adams County,563.54,9/8/09
4755268,NE,59.05,332.78,0,0,1,1,D0  ,Adams County,563.54,9/15/09
4763660,NE,59.05,332.78,0,0,1,1,D0  ,Adams County,563.54,9/22/09
4772232,NE,59.05,332.78,0,0,1,1,D0  ,Adams County,563.54,9/29/09
4780717,NE,20.51,115.56,0,0,1,1,D0  ,Adams County,563.54,10/6/09
4789022,NE,20.51,115.56,0,0,1,1,D0  ,Adams County,563.54,10/13/09
4797068,NE,20.13,113.42,0,0,1,1,D0  ,Adams County,563.54,10/20/09
5130039,NE,11.01,62.04,0,0,1,1,D0  ,Adams County,563.54,8/17/10
5223151,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/26/10
5233069,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/2/10
5242989,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/9/10
5252899,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/16/10
5262937,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/23/10
5272770,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/30/10
5282479,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/7/10
5292093,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/14/10
5301697,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/21/10
5311376,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/28/10
5320980,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/4/11
