ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20120828,6001,Alameda County,CA,0,100,96.24,0,0,0,8/28/12,9/3/12,1
20120821,6001,Alameda County,CA,0,100,96.18,0,0,0,8/21/12,8/27/12,1
20120814,6001,Alameda County,CA,0,100,96.18,0,0,0,8/14/12,8/20/12,1
20120807,6001,Alameda County,CA,0,100,96.52,0,0,0,8/7/12,8/13/12,1
20120731,6001,Alameda County,CA,0,100,96.52,0,0,0,7/31/12,8/6/12,1
20120724,6001,Alameda County,CA,0,100,96.52,0,0,0,7/24/12,7/30/12,1
20120717,6001,Alameda County,CA,0,100,96.52,0,0,0,7/17/12,7/23/12,1
20120710,6001,Alameda County,CA,0,100,96.52,0,0,0,7/10/12,7/16/12,1
20120703,6001,Alameda County,CA,0,100,96.23,0,0,0,7/3/12,7/9/12,1
20120626,6001,Alameda County,CA,0,100,98.02,0,0,0,6/26/12,7/2/12,1
20120619,6001,Alameda County,CA,0,100,98.02,0,0,0,6/19/12,6/25/12,1
20120612,6001,Alameda County,CA,0,100,97.71,0,0,0,6/12/12,6/18/12,1
20120605,6001,Alameda County,CA,0,100,97.71,0,0,0,6/5/12,6/11/12,1
20120529,6001,Alameda County,CA,0,100,97.71,0,0,0,5/29/12,6/4/12,1
20120522,6001,Alameda County,CA,0,100,97.71,0,0,0,5/22/12,5/28/12,1
20120515,6001,Alameda County,CA,0,100,97.71,0,0,0,5/15/12,5/21/12,1
20120508,6001,Alameda County,CA,0,100,97.71,0,0,0,5/8/12,5/14/12,1
20120501,6001,Alameda County,CA,0,100,97.71,0,0,0,5/1/12,5/7/12,1
20120424,6001,Alameda County,CA,0,100,97.71,0,0,0,4/24/12,4/30/12,1
20120417,6001,Alameda County,CA,0,100,97.71,0,0,0,4/17/12,4/23/12,1
20120410,6001,Alameda County,CA,0,100,100,91.31,0,0,4/10/12,4/16/12,1
20120403,6001,Alameda County,CA,0,100,100,91.31,0,0,4/3/12,4/9/12,1
20120327,6001,Alameda County,CA,0,100,100,91.31,0,0,3/27/12,4/2/12,1
20120320,6001,Alameda County,CA,0,100,100,91.31,0,0,3/20/12,3/26/12,1
