ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20170822,6001,Alameda County,CA,100,0,0,0,0,0,8/22/17,8/28/17,1
20170815,6001,Alameda County,CA,100,0,0,0,0,0,8/15/17,8/21/17,1
20170808,6001,Alameda County,CA,100,0,0,0,0,0,8/8/17,8/14/17,1
20170801,6001,Alameda County,CA,100,0,0,0,0,0,8/1/17,8/7/17,1
20170725,6001,Alameda County,CA,100,0,0,0,0,0,7/25/17,7/31/17,1
20170718,6001,Alameda County,CA,100,0,0,0,0,0,7/18/17,7/24/17,1
20170711,6001,Alameda County,CA,100,0,0,0,0,0,7/11/17,7/17/17,1
20170704,6001,Alameda County,CA,100,0,0,0,0,0,7/4/17,7/10/17,1
20170627,6001,Alameda County,CA,100,0,0,0,0,0,6/27/17,7/3/17,1
20170620,6001,Alameda County,CA,100,0,0,0,0,0,6/20/17,6/26/17,1
20170613,6001,Alameda County,CA,100,0,0,0,0,0,6/13/17,6/19/17,1
20170606,6001,Alameda County,CA,100,0,0,0,0,0,6/6/17,6/12/17,1
20170530,6001,Alameda County,CA,100,0,0,0,0,0,5/30/17,6/5/17,1
20170523,6001,Alameda County,CA,100,0,0,0,0,0,5/23/17,5/29/17,1
20170516,6001,Alameda County,CA,100,0,0,0,0,0,5/16/17,5/22/17,1
20170509,6001,Alameda County,CA,100,0,0,0,0,0,5/9/17,5/15/17,1
20170502,6001,Alameda County,CA,100,0,0,0,0,0,5/2/17,5/8/17,1
20170425,6001,Alameda County,CA,100,0,0,0,0,0,4/25/17,5/1/17,1
20170418,6001,Alameda County,CA,100,0,0,0,0,0,4/18/17,4/24/17,1
20170411,6001,Alameda County,CA,100,0,0,0,0,0,4/11/17,4/17/17,1
20170404,6001,Alameda County,CA,100,0,0,0,0,0,4/4/17,4/10/17,1
20170328,6001,Alameda County,CA,100,0,0,0,0,0,3/28/17,4/3/17,1
20170321,6001,Alameda County,CA,100,0,0,0,0,0,3/21/17,3/27/17,1
20170314,6001,Alameda County,CA,100,0,0,0,0,0,3/14/17,3/20/17,1
20170307,6001,Alameda County,CA,100,0,0,0,0,0,3/7/17,3/13/17,1
20170228,6001,Alameda County,CA,100,0,0,0,0,0,2/28/17,3/6/17,1
20170221,6001,Alameda County,CA,100,0,0,0,0,0,2/21/17,2/27/17,1
20170214,6001,Alameda County,CA,100,0,0,0,0,0,2/14/17,2/20/17,1
20170207,6001,Alameda County,CA,96.58,3.42,0,0,0,0,2/7/17,2/13/17,1
20170131,6001,Alameda County,CA,96.58,3.42,0,0,0,0,1/31/17,2/6/17,1
20170124,6001,Alameda County,CA,96.58,3.42,0,0,0,0,1/24/17,1/30/17,1
20170117,6001,Alameda County,CA,18.13,81.87,3.51,0,0,0,1/17/17,1/23/17,1
20170110,6001,Alameda County,CA,18.13,81.87,3.51,0,0,0,1/10/17,1/16/17,1
20170103,6001,Alameda County,CA,0,100,94.14,61.86,0,0,1/3/17,1/9/17,1
20161227,6001,Alameda County,CA,0,100,94.14,61.86,0,0,12/27/16,1/2/17,1
20161220,6001,Alameda County,CA,0,100,94.14,61.86,0,0,12/20/16,12/26/16,1
20161213,6001,Alameda County,CA,0,100,100,82.42,44.83,0,12/13/16,12/19/16,1
20161206,6001,Alameda County,CA,0,100,100,82.42,44.83,0,12/6/16,12/12/16,1
20161129,6001,Alameda County,CA,0,100,100,82.42,44.83,0,11/29/16,12/5/16,1
20161122,6001,Alameda County,CA,0,100,100,82.42,44.83,0,11/22/16,11/28/16,1
20161115,6001,Alameda County,CA,0,100,100,82.42,44.83,0,11/15/16,11/21/16,1
20161108,6001,Alameda County,CA,0,100,100,82.42,44.83,0,11/8/16,11/14/16,1
20161101,6001,Alameda County,CA,0,100,100,82.42,44.83,0,11/1/16,11/7/16,1
20161025,6001,Alameda County,CA,0,100,100,82.42,44.83,0,10/25/16,10/31/16,1
20161018,6001,Alameda County,CA,0,100,100,82.42,44.83,0,10/18/16,10/24/16,1
20161011,6001,Alameda County,CA,0,100,100,82.42,44.83,0,10/11/16,10/17/16,1
